Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,66,12,P:System.Windows.Forms.ButtonBase.Text,,,,,"this.saveChanges.Text = ""Save"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,65,12,T:System.Windows.Forms.Button,,,,,this.saveChanges.TabIndex = 24;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,65,12,P:System.Windows.Forms.Control.TabIndex,,,,,this.saveChanges.TabIndex = 24;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,64,12,T:System.Windows.Forms.Button,,,,,"this.saveChanges.Size = new System.Drawing.Size(99, 27);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,64,12,P:System.Windows.Forms.Control.Size,,,,,"this.saveChanges.Size = new System.Drawing.Size(99, 27);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,63,12,T:System.Windows.Forms.Button,,,,,"this.saveChanges.Name = ""saveChanges"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,63,12,P:System.Windows.Forms.Control.Name,,,,,"this.saveChanges.Name = ""saveChanges"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,62,12,T:System.Windows.Forms.Button,,,,,"this.saveChanges.Location = new System.Drawing.Point(334, 352);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,62,12,P:System.Windows.Forms.Control.Location,,,,,"this.saveChanges.Location = new System.Drawing.Point(334, 352);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,61,12,T:System.Drawing.GraphicsUnit,,,,,"this.saveChanges.Font = new System.Drawing.Font(""Poppins"", 7.8F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,61,12,T:System.Drawing.GraphicsUnit,,,,,"this.saveChanges.Font = new System.Drawing.Font(""Poppins"", 7.8F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,61,12,F:System.Drawing.GraphicsUnit.Point,,,,,"this.saveChanges.Font = new System.Drawing.Font(""Poppins"", 7.8F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,61,12,T:System.Drawing.FontStyle,,,,,"this.saveChanges.Font = new System.Drawing.Font(""Poppins"", 7.8F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,61,12,T:System.Drawing.FontStyle,,,,,"this.saveChanges.Font = new System.Drawing.Font(""Poppins"", 7.8F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,61,12,F:System.Drawing.FontStyle.Regular,,,,,"this.saveChanges.Font = new System.Drawing.Font(""Poppins"", 7.8F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
